timestep,time_elapsed,ego_velocity,desired_speed,distance_to_lead,lead_speed,mode
0,0.0,1.0845428554413616e-07,20,24.922393798828125,1.0040296203922465e-07,0
1,0.1,4.223329321673077e-08,20,24.922393798828125,1.2513945385354173e-07,0
2,0.2,1.660494560392473e-07,20,24.922393798828125,2.075643504250758e-07,0
3,0.30000000000000004,3.1374751352677587e-07,20,24.922393798828125,1.7954785727844546e-07,0
4,0.4,1.3344470235749988e-07,20,24.922393798828125,1.2646958600632048e-08,0
5,0.5,0.0019886494025958064,20,24.922393798828125,3.7702400278349576e-08,0
6,0.6000000000000001,0.8925732374203222,20,24.87188720703125,2.1903780882341162e-09,0
7,0.7000000000000001,1.2884952850872258,20,24.759338378948566,2.4256720271609072e-08,0
8,0.8,1.7729182528217864,20,24.602050781258946,7.329334534772436e-09,0
9,0.9,2.2602184432797117,20,24.398895263822844,8.292737411740152e-09,0
10,1.0,2.9319867242132345,20,24.136413575531872,8.461218403037783e-09,0
11,1.1,3.7095755163218143,20,23.79867554192469,4.14748516857393e-09,0
12,1.2000000000000002,4.417096610544738,20,23.387908947498058,4.248488243977408e-09,0
13,1.3,5.118191365248518,20,22.907348657183586,5.909979153504906e-09,0
14,1.4000000000000001,5.829576748976251,20,22.356292769164106,4.2241459808164084e-10,0
15,1.5,5.867241172430534,20,21.7714844489812,1.9523914242568293e-09,0
16,1.6,6.121415905750341,20,21.177368275493397,8.760333618580407e-10,0
17,1.7000000000000002,6.139508525140469,20,20.563141028926818,1.3490362380369386e-09,0
18,1.8,5.94291280821515,20,19.961822726435596,1.7295845725179473e-10,1
19,1.9000000000000001,5.650337389709977,20,19.386261268123096,1.59168848325968e-09,1
20,2.0,3.631624699659086,20,18.913025245169276,7.795444613803887e-10,1
21,2.1,1.0043606084319399,20,18.70236243265693,1.7860979711537603e-09,0
22,2.2,0.5296511573967667,20,18.67099036640764,2.0054045332010846e-10,0
23,2.3000000000000003,1.049428726543715,20,18.583923736863117,1.3060016982352643e-09,0
24,2.4000000000000004,1.4217847143392186,20,18.45568889481096,1.6593929508386998e-09,0
25,2.5,1.884572236189093,20,18.286804625849886,2.731489258001945e-09,0
26,2.6,2.4382019796502767,20,18.063995804978884,7.298273352166773e-10,0
27,2.7,3.1364160437319493,20,17.781921852999233,1.0211565581681905e-09,0
28,2.8000000000000003,3.888064244490287,20,17.42434741767485,2.5264586564630346e-09,0
29,2.9000000000000004,4.588896861316415,20,16.99578910406379,1.9107650183559787e-09,0
30,3.0,5.021638031443035,20,16.50747737745379,1.2420609440190766e-09,0
31,3.1,4.804292786464792,20,16.015564579851645,7.374472643503074e-10,1
32,3.2,4.351010897298436,20,15.561859791289756,2.2394023650208644e-09,1
33,3.3000000000000003,3.851777880274163,20,15.156586397947969,9.40742408574651e-10,1
34,3.4000000000000004,3.3695324162734352,20,14.799896987036139,1.4551967350485525e-09,1
35,3.5,3.107929292030872,20,14.480408504984448,4.224146127662769e-10,1
36,3.6,3.041860880851353,20,14.17392050569107,1.9523912688578602e-09,1
37,3.7,3.0577796132712987,20,13.868531141081654,7.970895320331693e-10,1
38,3.8000000000000003,3.104123417113505,20,13.559571222132957,1.7399299807649943e-09,1
39,3.9000000000000004,3.1559420265713745,20,13.245728493275102,2.7303342423341517e-10,1
40,4.0,3.201210562226416,20,12.92724709535339,1.5916883195395394e-09,1
41,4.1000000000000005,3.2342878020768087,20,12.604951003173847,1.0867872411640952e-09,1
42,4.2,3.0836759188823986,20,12.287079960755358,2.751826470992108e-09,1
43,4.3,2.746785690800844,20,11.997559745334193,6.98435933359227e-10,1
44,4.4,2.5149145604627905,20,11.738190896608266,1.3060019850229219e-09,1
45,4.5,2.3983235833767864,20,11.493684108297424,1.6593930171860492e-09,1
46,4.6000000000000005,2.320097254200346,20,11.258149491025222,2.731489258001945e-09,1
47,4.7,2.2563274351728313,20,11.029420294305124,7.298274394313536e-10,1
48,4.800000000000001,2.1960602231015307,20,10.806886166570548,1.021156593474127e-09,1
49,4.9,2.134876529946336,20,10.590455557021473,2.526458579474736e-09,1
50,5.0,2.071039237850571,20,10.380372606338662,2.1127029102939588e-09,1
51,5.1000000000000005,2.004013097052674,20,10.176850934440854,9.352995349600912e-10,1
52,5.2,1.9338167041970447,20,9.980226230084197,7.374472196127126e-10,1
53,5.300000000000001,1.860721856471346,20,9.79083418602682,2.239402287721753e-09,1
54,5.4,1.7851295733793746,20,9.608857915140279,1.3779860665445402e-09,1
55,5.5,1.707487605286591,20,9.43466362596415,1.2180470165912622e-09,1
56,5.6000000000000005,1.6282956774375488,20,9.268251320707826,4.224146127662769e-10,1
57,5.7,1.5480842713058924,20,9.109865137485672,1.9523912688578602e-09,1
58,5.800000000000001,0.01177262339496851,20,9.044038425211417,7.970895824009148e-10,1
59,5.9,0.07261965358097802,20,9.040498390123703,1.4328654167030983e-09,1
60,6.0,0.07611993907119473,20,9.031434672113365,2.3873737982151873e-10,1
61,6.1000000000000005,0.080418620839809,20,9.022126820283612,1.5916886401189536e-09,1
62,6.2,0.07865106890883289,20,9.01288000590239,6.00093289516762e-10,1
63,6.300000000000001,0.07889142611104297,20,9.004090957443385,1.8141603442247114e-09,1
64,6.4,0.07963929812304726,20,8.995362937353404,3.81361877928586e-10,1
65,6.5,0.0003190862488009124,20,8.994416893742004,1.3060019850229219e-09,1
66,6.6000000000000005,0.0005368554474765898,20,8.994264304737468,1.3248645586558703e-09,1
67,6.7,0.00043454622660422167,20,8.994111716874148,2.498378043498409e-09,1
68,6.800000000000001,0.00030110109787431024,20,8.99405068172882,4.556301338059459e-10,1
69,6.9,0.0,20,8.99405068172882,1.021156593474127e-09,1
70,7.0,0.034846188653298145,20,8.993684470856856,1.7179890002592683e-09,1
71,7.1000000000000005,6.956273938292103e-05,20,8.992952049112942,2.2465193986218824e-09,1
72,7.2,9.138377088050967e-05,20,8.992952049112942,4.761741831421611e-10,1
73,7.300000000000001,7.115371279229698e-05,20,8.99292153154028,7.374471748751191e-10,1
74,7.4,4.858897391226746e-05,20,8.992860496394954,2.2394022080298523e-09,1
75,7.5,0.0,20,8.992860496394954,1.873548093247659e-09,1
76,7.6000000000000005,0.03882145397402036,20,8.992799461249628,9.142501509204755e-10,1
77,7.7,3.0457955349576348e-05,20,8.992128074651065,4.224146127662769e-10,1
78,7.800000000000001,8.787603661333108e-06,20,8.992128074651065,1.9523913497615744e-09,1
79,7.9,1.3534177422606125e-05,20,8.992128074651065,1.1684023481215046e-09,1
80,8.0,1.0869158911073445e-05,20,8.992128074651065,1.195066560245265e-09,1
81,8.1,0.0,20,8.992128074651065,3.7105857563897037e-10,1
82,8.200000000000001,0.03948111448784727,20,8.992128074651065,1.5916886469798344e-09,1
83,8.3,4.469845898160142e-05,20,8.991456688052518,7.215728464742888e-10,1
84,8.4,3.25687987064783e-06,20,8.991456688052518,1.8173093168929393e-09,1
85,8.5,5.122244405747698e-06,20,8.991456688052518,3.813618457884288e-10,1
86,8.6,5.32012525520261e-06,20,8.991456688052518,1.3060019850229219e-09,1
87,8.700000000000001,0.0,20,8.991456688052518,1.3248645696677036e-09,1
88,8.8,0.039581254237957275,20,8.991456688052518,2.9471645951077484e-09,1
89,8.9,4.6713167139802214e-05,20,8.99078530145399,9.680194327762029e-10,1
90,9.0,4.928144741696945e-06,20,8.99078530145399,1.0211566791474319e-09,1
91,9.1,3.94757363076384e-06,20,8.99078530145399,2.526458579474736e-09,1
92,9.200000000000001,4.61152485539811e-06,20,8.99078530145399,1.127040491419529e-09,1
93,9.3,0.0,20,8.99078530145399,1.7152967579896208e-09,1
94,9.4,0.0395957417464519,20,8.99078530145399,7.374471748751191e-10,1
95,9.5,4.701512813298718e-05,20,8.990144432428137,2.2394022080298523e-09,1
96,9.600000000000001,5.1635457922628435e-06,20,8.990144432428137,1.3779860253428495e-09,1
97,9.700000000000001,3.7306103102258247e-06,20,8.990144432428137,1.2180470775398079e-09,1
98,9.8,4.407469071512157e-06,20,8.990144432428137,4.224146127662769e-10,1
