timestep,time_elapsed,ego_velocity,desired_speed,distance_to_lead,lead_speed,mode
0,0.0,1.61893597579618e-07,20,63.847625732421875,1.0040296203922465e-07,0
1,0.1,1.723945306640134e-07,20,63.847625732421875,1.2513945385354173e-07,0
2,0.2,4.265035495740635e-07,20,63.847625732421875,2.075643504250758e-07,0
3,0.30000000000000004,3.104513204531915e-07,20,63.847625732421875,1.7954785727844546e-07,0
4,0.4,1.0622282212120364e-07,20,63.847625732421875,1.2646958600632048e-08,0
5,0.5,0.001988716224140643,20,63.847625732421875,3.7702400278349576e-08,0
6,0.6000000000000001,0.8916376829159632,20,63.797149658203125,2.1903780882341162e-09,0
7,0.7000000000000001,1.286813560032714,20,63.68869018557432,2.4256720271609072e-08,0
8,0.8,1.8137649439530545,20,63.52847290053092,7.329334534772436e-09,0
9,0.9,2.2902201642896864,20,63.32162475593119,8.292737411740152e-09,0
10,1.0,2.930910034236884,20,63.0685729980469,0.22339719537351677,0
11,1.1,3.7025663677865084,20,62.766021728527214,0.42261597192201594,0
12,1.2000000000000002,4.408892409213884,20,62.40307617210589,0.5292636778030775,0
13,1.3,5.109304236591513,20,61.976959229445534,0.6020668221011866,0
14,1.4000000000000001,5.812505090479966,20,61.48724365491823,0.6764357664597022,0
15,1.5,5.8280933685151215,20,60.972717289693826,0.7288066185647426,0
16,1.6,6.440065720372191,20,60.44332886597129,0.7935477053974589,0
17,1.7000000000000002,7.207644825050007,20,59.835937512490624,0.8380308249500223,0
18,1.8,8.038428688370772,20,59.1522216992208,0.896394892752566,0
19,1.9000000000000001,8.919491220016855,20,58.38851931440257,0.9462221374779531,0
20,2.0,9.216947955340242,20,57.55853275294376,1.00456990955982,0
21,2.1,9.765431812883605,20,56.71752934706619,1.0581214586372774,0
22,2.2,10.67447132746937,20,55.79260260471002,1.1120822598896078,0
23,2.3000000000000003,11.380319069111929,20,54.79486092450802,1.1648017346241808,0
24,2.4000000000000004,11.993946498865807,20,53.73791514594934,1.2150761075835195,0
25,2.5,12.567850530533965,20,52.62750257377914,1.2650256352656946,0
