timestep,time_elapsed,ego_velocity,desired_speed,distance_to_lead,lead_speed,mode
0,0.0,1.1440448039346052e-07,20,36.996673583984375,1.0040296203922465e-07,0
1,0.1,4.776426427909657e-07,20,36.996673583984375,1.2513945385354173e-07,0
2,0.2,8.38694349334889e-08,20,36.996673583984375,2.075643504250758e-07,0
3,0.30000000000000004,4.683688621024968e-08,20,36.996673583984375,1.7954785727844546e-07,0
4,0.4,2.3522686151564533e-08,20,36.996673583984375,1.2646958600632048e-08,0
5,0.5,0.0017946529118244197,20,37.01275634765625,0.29594531655710493,0
6,0.6000000000000001,0.7823835015409847,20,37.01065063486962,0.5886132777932649,0
7,0.7000000000000001,1.2859257459805407,20,36.96746826174257,0.7403466471478211,0
8,0.8,1.7190701965302362,20,36.82546997369231,0.0003259266947086149,0
9,0.9,2.2877600232888016,20,36.62228393833673,9.667374425527376e-05,0
10,1.0,2.9642727637507065,20,36.35729980728831,0.0001232376197017776,0
11,1.1,3.7310362233550274,20,36.01745605674822,7.531748892378177e-05,0
12,1.2000000000000002,4.429099128562627,20,35.60577392732796,2.169278523506736e-05,0
13,1.3,5.126210744057338,20,35.12469482519073,2.0649129318547534e-05,0
14,1.4000000000000001,5.462182581677346,20,34.583496094265506,1.1715399390589093e-05,0
15,1.5,5.673519675002161,20,34.02590942402705,5.336345655231924e-06,0
16,1.6,5.675032203680929,20,33.455413818367205,7.757483031329946e-07,0
17,1.7000000000000002,6.965651593022822,20,32.823150634845646,9.303945944094536e-07,0
18,1.8,8.109906298322937,20,32.060455322832986,5.344469031622384e-07,0
19,1.9000000000000001,9.02294075911886,20,31.197784425573136,2.5662165968650905e-07,0
20,2.0,9.576885364085701,20,30.2591247596466,1.0323959811474879e-08,0
21,2.1,9.413597170042022,20,29.30709839418363,5.486687463456347e-08,1
22,2.2,8.988675119399483,20,28.388702402778836,3.16331185765804e-08,1
23,2.3000000000000003,8.460883199326183,20,27.518890391120422,1.6877055491423797e-08,1
24,2.4000000000000004,7.90092387679286,20,26.703857429383138,3.396923635714287e-08,1
25,2.5,7.4070859848996164,20,25.943756108741063,4.127987951150973e-08,1
26,2.6,7.039505111932987,20,25.218566902481594,1.2388312608861584e-08,1
27,2.7,5.057148643420403,20,24.604187102972194,8.636699383566828e-09,1
28,2.8000000000000003,3.8182702800937154,20,24.197815285662283,6.969486701180464e-09,0
29,2.9000000000000004,4.0570190549551635,20,23.805328399854492,3.301031438367784e-09,0
30,3.0,4.596680852605028,20,23.370208904557543,4.197412703861678e-09,0
31,3.1,5.2421024461411605,20,22.87481808117935,4.2274118208155445e-09,0
32,3.2,5.483215076342254,20,22.327670709130913,9.075179299976803e-10,0
33,3.3000000000000003,5.682340852143107,20,21.766059415116914,1.8085350422733176e-09,0
34,3.4000000000000004,5.5309583043431765,20,21.201336846359162,5.192312364934714e-09,0
35,3.5,6.345794931386955,20,20.589985679039977,4.946970535920157e-09,0
36,3.6,6.215948013861289,20,19.95861739546775,1.6244930985580463e-10,1
37,3.7,5.947435146277206,20,19.34843028545565,1.7367437886322023e-09,1
38,3.8000000000000003,4.695035524492249,20,18.793877803597592,3.7203248495658862e-09,1
39,3.9000000000000004,2.066583370367431,20,18.470918832876713,3.745043566456354e-09,1
40,4.0,1.0685158333243872,20,18.359136102325593,2.019431223078582e-10,0
41,4.1000000000000005,1.5784737137003833,20,18.220346013131188,5.230635831909693e-10,0
42,4.2,2.1606891289750205,20,18.029494899623305,3.371840134086541e-09,0
43,4.3,2.8479322730190555,20,17.774681514165053,3.374786568100268e-09,0
44,4.4,3.626942833141947,20,17.44577463845371,3.531112450421836e-10,0
45,4.5,4.3308023885904285,20,17.04393468271753,2.9823316938208265e-09,0
46,4.6000000000000005,5.026783818265096,20,16.572580426428303,1.3535374455378214e-09,0
47,4.7,5.382588879121658,20,16.04227164119805,7.849785832656713e-10,0
48,4.800000000000001,3.5840486398202565,20,15.606046481834984,1.2788938007178005e-09,1
49,4.9,1.8139849722513877,20,15.345777222295174,8.940888900864195e-10,1
50,5.0,1.2842476291337792,20,15.22505585348892,8.924532632155707e-10,1
51,5.1000000000000005,1.7236876700251662,20,15.067320343181509,6.208770446713358e-10,1
52,5.2,1.9320720752611245,20,14.88135897230055,1.1604803950028818e-09,1
53,5.300000000000001,2.0842969981423862,20,14.678431575189787,2.297803105499712e-10,1
54,5.4,2.2075490173208716,20,14.462261252062856,3.9052269036762243e-10,1
55,5.5,2.3126982179143174,20,14.234801142723237,5.541696014970547e-10,1
56,5.6000000000000005,2.4042716810453078,20,13.997821311538454,6.636398400869883e-10,1
57,5.7,2.4839722711769694,20,13.752359448893476,1.034947018711911e-10,1
58,5.800000000000001,2.552246805903405,20,13.499605790874131,5.215352489549529e-10,1
59,5.9,2.6090056321771202,20,13.24059803814491,4.3757735709073075e-10,1
60,6.0,2.6539838561406492,20,12.976679014559036,7.170821771235723e-10,1
61,6.1000000000000005,2.686913237519674,20,12.708886365685537,3.901667530312394e-10,1
62,6.2,2.7076042279669985,20,12.438593454530462,4.923290034499832e-10,1
63,6.300000000000001,2.7159881560292973,20,12.166807351190924,4.3076439630071127e-10,1
64,6.4,2.7121215288763887,20,11.89487086786653,3.980222550414766e-10,1
65,6.5,2.6961893739222655,20,11.624035173979536,2.9827852945391267e-10,1
66,6.6000000000000005,2.668508562150271,20,11.355368345430913,2.2426169941253316e-10,1
67,6.7,2.6295156586625104,20,11.090213088537125,2.009763916173388e-10,1
68,6.800000000000001,2.579745462846073,20,10.829454291825444,4.683248077862191e-10,1
69,6.9,2.5198288631932617,20,10.574159960022326,4.895628394209486e-10,1
70,7.0,2.4504601672190343,20,10.32542852385174,6.308253753313152e-10,1
71,7.1000000000000005,2.372390669236513,20,10.084114260962114,3.380614886168352e-10,1
72,7.2,2.2866134344566467,20,9.85101041813361,7.237806882738392e-10,1
73,7.300000000000001,2.195152737944461,20,9.626788110280879,7.077495195551069e-10,1
74,7.4,2.09962131639622,20,9.411996343761786,2.1086078335105884e-10,1
75,7.5,2.001041564447096,20,9.206787505818546,5.36717902232451e-10,1
76,7.6000000000000005,1.1923973474468006,20,9.029924565777376,2.9313022455116675e-10,1
77,7.7,0.00011270101589339004,20,9.008873237066231,6.930687840796343e-10,1
78,7.800000000000001,0.049514511758265045,20,9.005456187416893,4.536439158075328e-10,1
79,7.9,0.050238984301464486,20,8.998805173771089,9.158003652380672e-11,1
80,8.0,0.0003511088396036409,20,8.997767821249465,4.995032449178107e-10,1
81,8.1,0.00021950404270618663,20,8.997645795528424,3.588795344713881e-10,1
82,8.200000000000001,0.00012118470032979779,20,8.997554283675427,3.607066590768949e-11,1
83,8.3,6.392446100146566e-05,20,8.997493255942596,7.967281288977863e-11,1
84,8.4,0.0,20,8.997493255942596,2.970220148603712e-10,1
85,8.5,0.021530901843169914,20,8.99819495590017,3.198377355324977e-10,1
86,8.6,2.591358251688108e-05,20,8.998133928165474,4.274663453979948e-11,1
87,8.700000000000001,1.1433150332624992e-05,20,8.998133928165474,2.602111779349773e-10,1
88,8.8,5.391476398266414e-06,20,8.998133928165474,2.0600616046602606e-10,1
89,8.9,2.6783309579414363e-06,20,8.998133928165474,4.391063707910189e-10,1
90,9.0,0.0,20,8.998133928165474,2.930358817576428e-10,1
91,9.1,0.01058654558263593,20,8.997584797541881,2.6006474773946e-10,1
92,9.200000000000001,8.549355943746885e-06,20,8.997188147028307,1.6638564243979452e-10,1
93,9.3,7.158553800235828e-07,20,8.997188147028307,3.8598455195966376e-10,1
94,9.4,1.5147940774008396e-06,20,8.997188147028307,4.317930731620436e-10,1
95,9.5,1.0219273471296402e-06,20,8.997188147028307,4.505056150520122e-10,1
96,9.600000000000001,0.0,20,8.997188147028307,5.299275163921731e-10,1
97,9.700000000000001,0.012870952121790217,20,8.996577988718126,4.4813427158507976e-10,1
98,9.8,1.010506639380308e-05,20,8.996181367981377,1.0528611709645225e-10,1
99,9.9,5.060516839688978e-07,20,8.996181367981377,1.8419468708014063e-10,1
100,10.0,1.5015204327429673e-06,20,8.996181367981377,9.158003652380672e-11,1
101,10.100000000000001,1.092708703445514e-06,20,8.996181367981377,3.241451285126767e-10,1
102,10.200000000000001,0.0,20,8.996181367981377,5.685494385112919e-10,1
103,10.3,0.012835660648492899,20,8.995540666101427,2.9569130721008707e-10,1
104,10.4,1.0054628306478574e-05,20,8.995174559256535,4.923289971448523e-10,1
105,10.5,5.110804542913108e-07,20,8.995174559256535,4.6122202838829325e-10,1
106,10.600000000000001,1.5004929142930507e-06,20,8.995174559256535,4.3719468781710435e-10,1
107,10.700000000000001,1.041806060962715e-06,20,8.995174559256535,7.617267139247332e-10,1
108,10.8,0.0,20,8.995174559256535,1.9636555506134546e-10,1
109,10.9,0.012861112655314744,20,8.994533887183911,5.632770789125003e-10,1
110,11.0,1.0092643287381226e-05,20,8.994137236740647,1.5392722193938784e-10,1
111,11.100000000000001,4.994172530758318e-07,20,8.994137236740647,2.9866881253836825e-10,1
112,11.200000000000001,1.5013260254150292e-06,20,8.994137236740647,4.47903814555438e-10,1
113,11.3,1.0799347511053933e-06,20,8.994137236740647,3.380614886168352e-10,1
114,11.4,0.0,20,8.994137236740647,3.548196528799167e-10,1
115,11.5,0.012910194940112758,20,8.993527108348392,3.437441959505292e-10,1
116,11.600000000000001,1.0096881830006963e-05,20,8.993130457929587,7.129648273368969e-11,1
117,11.700000000000001,5.27999372697009e-07,20,8.993130457929587,4.895556744722532e-10,1
118,11.8,1.5354051704022583e-06,20,8.993130457929587,2.9314115545727703e-10,1
119,11.9,1.097661147835343e-06,20,8.993130457929587,4.2723473652203175e-10,1
120,12.0,0.0,20,8.993130457929587,2.7386743482190575e-10,1
121,12.100000000000001,0.012884356988819064,20,8.992489785960636,3.13345609102127e-10,1
122,12.200000000000001,1.0076873263754731e-05,20,8.99212367920056,2.580222223382638e-10,1
123,12.3,4.95083021617654e-07,20,8.992123649424121,2.169532047852955e-10,1
124,12.4,1.524262648440035e-06,20,8.99212367920056,2.7341483032530025e-10,1
125,12.5,1.0704542449864243e-06,20,8.99212367920056,4.923289971448523e-10,1
