timestep,time_elapsed,ego_velocity,desired_speed,distance_to_lead,lead_speed,mode
0,0.0,1.266685463330584e-08,20,44.135406494140625,1.0040296203922465e-07,0
1,0.1,1.646799978416048e-07,20,44.135406494140625,1.2513945385354173e-07,0
2,0.2,4.212891618685892e-08,20,44.135406494140625,2.075643504250758e-07,0
3,0.30000000000000004,1.1645241085118817e-07,20,44.135406494140625,1.7954785727844546e-07,0
4,0.4,1.6559938846042456e-07,20,44.135406494140625,1.2646958600632048e-08,0
5,0.5,0.001794652908108436,20,44.135406494140625,3.7702400278349576e-08,0
6,0.6000000000000001,0.782381296168911,20,44.09436035156254,0.1831585020192505,0
7,0.7000000000000001,1.2860758304762665,20,44.01998901367204,0.4742518041065158,0
8,0.8,1.7174859064675334,20,43.91955566406354,0.6116685880824951,0
9,0.9,2.294521863456212,20,43.78036499023475,0.7466946966562841,0
10,1.0,2.9662404738542474,20,43.59008789064708,0.8323783029305746,0
11,1.1,3.730041588608077,20,43.33648681698083,0.9325669492013287,0
12,1.2000000000000002,4.427377326334475,20,43.021453859449714,1.0366532877789418,0
13,1.3,5.124179484368613,20,42.64691162628885,1.135972222671404,0
14,1.4000000000000001,5.459821832752286,20,42.222442635911236,1.2348631795403473,0
15,1.5,5.670877118822889,20,41.79150391806456,1.3331039374451468,0
16,1.6,5.672422549847793,20,41.35745240554622,1.4325578343534948,0
17,1.7000000000000002,6.963041957039063,20,40.87191773715794,1.5352587614770272,0
18,1.8,8.107300019099304,20,40.26638795034369,1.6392153661370144,0
19,1.9000000000000001,9.020320192016277,20,39.57138062342042,1.7440436717439174,0
20,2.0,9.820964150638607,20,38.80264282694667,1.849441144765757,0
21,2.1,9.986989328815122,20,37.99954223771153,1.9551430050449212,0
22,2.2,10.63889537196901,20,37.17855834963306,2.06094883275567,0
23,2.3000000000000003,11.448121448700572,20,36.27807617516099,2.166694555761313,0
24,2.4000000000000004,12.114197196163,20,35.31619264158536,2.272253526052653,0
25,2.5,12.477815125538266,20,34.31079105419925,2.3774955153793043,0
26,2.6,12.297489624315995,20,33.312103353425194,2.482295776825578,1
27,2.7,11.897707431980544,20,32.35604873778061,2.5865352885054,1
28,2.8000000000000003,11.422579235964706,20,31.454803733116165,2.6900878732242903,1
29,2.9000000000000004,11.026121540832804,20,30.60891766890778,2.792830226452982,1
30,3.0,10.456869496823437,20,29.808960628284527,2.8946361852964464,0
31,3.1,9.436110818971661,20,29.114869152220784,2.995378162986486,0
32,3.2,8.860885903550251,20,28.50885151249791,3.0949331104123856,0
33,3.3000000000000003,8.679759294874831,20,27.94723706985196,3.1931801351998828,0
34,3.4000000000000004,8.868978769442469,20,27.392946985738057,3.2900007321418085,0
35,3.5,9.376709268679347,20,26.811343826631532,3.3852716401533103,0
36,3.6,9.328922558633172,20,26.2122542751774,3.4788779497386173,0
37,3.7,10.230218252830156,20,25.58432581321345,3.570716199311356,0
38,3.8000000000000003,11.016423581350756,20,24.876899296893516,3.6606912684323034,0
39,3.9000000000000004,11.428859142684335,20,24.11689125411771,3.748703282823245,0
40,4.0,11.272402201330273,20,23.358623017728807,3.8346543283820873,1
41,4.1000000000000005,10.899896049151918,20,22.63783068582782,3.9184855533813954,1
42,4.2,10.584396729442242,20,21.961075564284517,4.000135214528285,1
43,4.3,9.797818518640142,20,21.338947310319803,4.07954370566051,1
44,4.4,8.909679698589557,20,20.821281102925305,4.156660480810439,1
45,4.5,8.395949622512962,20,20.379268367550345,4.231444530099357,0
46,4.6000000000000005,8.226244220139984,20,19.97650169834027,4.3038634292129405,0
47,4.7,8.41176630041904,20,19.578099547771817,4.37389667349866,0
48,4.800000000000001,8.90962913115801,20,19.150401098846668,4.441533771934083,0
49,4.9,9.136002815255925,20,18.684647935696255,4.5067752008069775,0
50,5.0,9.704103766552821,20,18.206657945443002,4.569633359253755,0
51,5.1000000000000005,10.326758710647,20,17.654572252391382,4.630134473295298,0
52,5.2,10.244495724428376,20,17.088388347425155,4.688325751453423,1
53,5.300000000000001,9.920710889154721,20,16.551471753703964,4.744299224352503,1
54,5.4,9.57782871940316,20,16.055602242264197,4.798155975698996,1
55,5.5,9.040965370196712,20,15.599162350617913,4.849906982707949,1
56,5.6000000000000005,8.17138029506334,20,15.231925997458681,4.8995732287489595,1
57,5.7,7.659431684783127,20,14.936192950783834,4.947191904828185,1
58,5.800000000000001,7.339905949087397,20,14.682758026347411,4.977613170929043,1
59,5.9,7.098075587460808,20,14.458559652280917,4.9881299798544605,1
60,6.0,6.9002305954342535,20,14.255876842779173,4.979574428123815,1
61,6.1000000000000005,6.729403675546239,20,14.069613295682748,4.953694627390343,1
62,6.2,6.575915032864109,20,13.895832112249202,4.9123693470310315,1
63,6.300000000000001,6.433906245578933,20,13.731847695760155,4.8573848470905014,1
64,6.4,6.299735708007738,20,13.575462755311214,4.79037241346774,1
