timestep,time_elapsed,ego_velocity,desired_speed,distance_to_lead,lead_speed,mode
0,0.0,1.0845428554413616e-07,20,27.569671630859375,1.0040296203922465e-07,0
1,0.1,4.223329321673077e-08,20,27.569671630859375,1.2513945385354173e-07,0
2,0.2,1.660494560392473e-07,20,27.569671630859375,2.075643504250758e-07,0
3,0.30000000000000004,3.1374751352677587e-07,20,27.569671630859375,1.7954785727844546e-07,0
4,0.4,1.3344470235749988e-07,20,27.570648193359375,0.0983117819555514,0
5,0.5,0.0019886494025958064,20,27.596801757813555,0.40517884322364645,0
6,0.6000000000000001,0.8925732374203222,20,27.598480224801566,0.6108070017727429,0
7,0.7000000000000001,1.2884952850872258,20,27.559234619552548,0.799210437978265,0
8,0.8,1.7729182528217864,20,27.492980957035485,0.9563294449799641,0
9,0.9,2.2602184432797117,20,27.398040773403082,1.1235253180818006,0
10,1.0,2.9319867242132345,20,27.259643560976574,1.2930046441185916,0
11,1.1,3.709575277933419,20,27.0635070944241,1.4719090426267822,0
12,1.2000000000000002,4.417096133733786,20,26.81216432977853,1.6528192895387435,0
13,1.3,5.118190888449368,20,26.509155302428354,1.8366182637994055,0
14,1.4000000000000001,5.829519530745288,20,26.154144318891507,2.0232201580665645,0
15,1.5,5.8670218325339265,20,25.783996611745813,2.2112248323988637,0
16,1.6,6.455304024958062,20,25.412292502358287,2.3994446622471717,0
17,1.7000000000000002,7.229204178502411,20,24.97744752285786,2.586897027541591,0
18,1.8,8.060903194232694,20,24.479461674791644,2.7726829910820374,0
19,1.9000000000000001,8.944237484268642,20,23.914184570568377,2.9559384416168677,0
20,2.0,9.240520267683564,20,23.294982912602578,3.135840783768691,0
21,2.1,9.629319976485716,20,22.682647721534448,3.3115762764299017,0
22,2.2,9.808032826464608,20,22.04559330925139,3.482357676217729,0
23,2.3000000000000003,9.575761577336696,20,21.435638531348342,3.6475906411822367,1
24,2.4000000000000004,9.212019640034606,20,20.872894481101966,3.8066081691041656,0
25,2.5,8.847320226224696,20,20.363617270935922,3.9591502073890936,0
26,2.6,8.398007955661717,20,19.900757351941945,4.104965228646042,0
27,2.7,7.728082173700539,20,19.521668252787503,4.243902074163793,0
28,2.8000000000000003,7.486449219591009,20,19.196320685805112,4.3759419086615035,0
29,2.9000000000000004,7.5971923087628115,20,18.8872085537425,4.501204898957482,0
30,3.0,8.017091380686347,20,18.56082355762362,4.619568012765039,0
31,3.1,8.045869453223307,20,18.222170598852177,4.73147709083351,0
32,3.2,8.887052306542572,20,17.855075359341726,4.837239229209353,0
33,3.3000000000000003,9.65854060361214,20,17.40906177210866,4.937734194759297,0
34,3.4000000000000004,10.033995532062715,20,16.91473899032668,5.034176022894927,0
35,3.5,9.86891063901831,20,16.424627798306723,4.944308162036398,1
36,3.6,9.58611944533415,20,15.964790175530466,5.066221539123493,1
37,3.7,8.937077210182222,20,15.545510620575529,5.102395140329573,1
38,3.8000000000000003,8.186531602610007,20,15.21222978138857,5.1610415660731075,1
39,3.9000000000000004,7.695976737296112,20,14.945721592212568,5.229631591822918,1
40,4.0,7.380976175326287,20,14.722853728858947,5.303298085916932,1
41,4.1000000000000005,7.141852809176622,20,14.53425732008774,5.380465549181001,1
42,4.2,6.947459631303688,20,14.37483593616864,5.460919394940471,1
43,4.3,6.781280431529308,20,14.241385210773654,5.544970043973169,1
44,4.4,6.633818521166917,20,14.132196213977856,5.63309910398055,1
45,4.5,6.499496336076389,20,14.046139763415985,5.725782936589157,1
46,4.6000000000000005,6.375078536048793,20,13.982483437520582,5.823424472677644,1
47,4.7,6.258739311864344,20,13.9409526270203,5.926315537303347,1
48,4.800000000000001,6.149555983598659,20,13.92127264691737,6.034612057027515,1
49,4.9,6.04712943881176,20,13.92319934982657,6.1483207077436495,1
50,5.0,5.951423437759333,20,13.946641197930166,6.2673041584892895,1
51,5.1000000000000005,5.862600581995528,20,13.99046901491196,6.3699916024480485,1
52,5.2,5.780957464539301,20,14.051509009534808,6.444614156999999,1
53,5.300000000000001,5.706847898216922,20,14.126160030662325,6.4892959374040835,1
54,5.4,5.640593272007212,20,14.210607359022003,6.505464128213314,1
55,5.5,5.582462044731777,20,14.301371979444912,6.49564836612804,1
56,5.6000000000000005,5.532606804508825,20,14.395249516732953,6.462612415821329,1
57,5.7,5.49106855942606,20,14.489340807992052,6.40903659303902,1
58,5.800000000000001,5.45773096110202,20,14.58074664798302,6.337401895744065,1
59,5.9,5.432359882586461,20,14.66708672857191,6.249966160043393,1
60,6.0,5.414550965744839,20,14.746163715046102,6.148773120211472,1
61,6.1000000000000005,5.40376872243672,20,14.81584138139436,6.0356643322209,1
62,6.2,5.399337474287375,20,14.874502292099672,5.912309686827117,1
63,6.300000000000001,5.400463764141576,20,14.920498473073748,5.780209322916936,1
64,6.4,5.406251614802141,20,14.953219569929347,5.653867756875187,1
65,6.5,5.415724463578521,20,14.973214935015154,5.540865311094504,1
66,6.6000000000000005,5.427886197518699,20,14.9815526938585,5.442686862494611,1
67,6.7,5.441757392891418,20,14.97960614528861,5.358878458515877,1
68,6.800000000000001,5.456433489453897,20,14.968504406939589,5.288340982381865,1
69,6.9,5.471099095504956,20,14.949681817833362,5.229800317751557,1
70,7.0,5.485051829966679,20,14.923657217878544,5.169318433117291,1
71,7.1000000000000005,5.4977151964160536,20,14.889698180036445,5.099578220765446,1
72,7.2,5.508596622064501,20,14.847011280741611,5.018931724278946,1
73,7.300000000000001,5.517265999723548,20,14.796328921804312,5.002756387815086,1
74,7.4,5.523348058488263,20,14.740763901007357,4.9448422889177905,1
75,7.5,5.526549066598512,20,14.676837236717716,4.852057348531361,1
76,7.6000000000000005,5.526638711856664,20,14.60238214972149,4.741940230330414,1
77,7.7,5.523376191234004,20,14.51657467690904,4.621721258368488,1
78,7.800000000000001,5.516502582040433,20,14.4188349730717,4.4942285700596525,1
79,7.9,5.505734643223937,20,14.308979958818686,4.359263324767105,1
80,8.0,5.490793901673183,20,14.187009615586978,4.221478996990398,1
81,8.1,5.471395685594784,20,14.052588259033222,4.079399294902932,1
82,8.200000000000001,5.44728441014303,20,13.906051685804107,3.9339280693017034,1
83,8.3,5.418219272635431,20,13.74865111625247,3.80667427500117,1
84,8.4,5.384001908842918,20,13.58301097084636,3.7041899312632824,1
85,8.5,5.344505956640723,20,13.412305148713704,3.627027217319451,1
86,8.6,5.299711865832792,20,13.239402278475618,3.574092264022581,1
87,8.700000000000001,5.24971548069298,20,13.067109959801751,3.5438615666335718,1
88,8.8,5.194740438016408,20,12.89829687160627,3.5347184001504357,1
89,8.9,5.13513053715291,20,12.73546539123394,3.54505199892562,1
90,9.0,5.071302534143355,20,12.58090432267703,3.5732644734390875,1
