timestep,time_elapsed,ego_velocity,desired_speed,distance_to_lead,lead_speed,mode
0,0.0,1.266685463330584e-08,20,43.274139404296875,1.0040296203922465e-07,0
1,0.1,1.646799978416048e-07,20,43.274139404296875,1.2513945385354173e-07,0
2,0.2,4.212891618685892e-08,20,43.274139404296875,2.075643504250758e-07,0
3,0.30000000000000004,1.1645241085118817e-07,20,43.274139404296875,1.7954785727844546e-07,0
4,0.4,1.6559938846042456e-07,20,43.274139404296875,1.2646958600632048e-08,0
5,0.5,0.001794652908108436,20,43.274139404296875,3.7702400278349576e-08,0
6,0.6000000000000001,0.7823812961689111,20,43.22561645507817,2.1903780882341162e-09,0
7,0.7000000000000001,1.2860758304762663,20,43.12850952148442,0.25486579690412053,0
8,0.8,1.7174859064675334,20,43.01507568380692,0.46606312929585214,0
9,0.9,2.294521863455703,20,42.866485595767664,0.6264459600540457,0
10,1.0,2.9662404738539734,20,42.66763305664489,0.7599980831151122,0
11,1.1,3.7300415886126044,20,42.405700683616445,0.856907502396317,0
12,1.2000000000000002,4.4273773263385685,20,42.08300781259548,0.959521416737649,0
13,1.3,5.124179484363019,20,41.70294189461569,1.0967569623255857,0
14,1.4000000000000001,5.459818018067156,20,41.274383544967,1.209108525739299,0
15,1.5,5.670874734642518,20,40.84036254944829,1.317090809618963,0
16,1.6,5.672419211982425,20,40.40426635933233,1.4277401617555612,0
17,1.7000000000000002,6.963039572851036,20,39.91787720147686,1.5469117864233306,0
18,1.8,8.107297158079804,20,39.31323242995933,1.6695367853009597,0
19,1.9000000000000001,9.020317330965927,20,38.621154799351714,1.7937934019581092,0
20,2.0,9.820962243309815,20,37.85729982769623,1.9188153424573666,0
21,2.1,9.98698742148134,20,37.06109622653418,2.0440243224027688,0
22,2.2,10.638892510943514,20,36.2488098661505,2.16894159726066,0
23,2.3000000000000003,11.44811763401713,20,35.35900886301766,2.293105469454854,0
24,2.4000000000000004,11.87686770498529,20,34.41806040602434,2.4160648510436453,0
25,2.5,11.725383223626217,20,33.481506486910305,2.5373705613031645,0
26,2.6,11.340166500218567,20,32.58676165667353,2.6565860558186762,0
27,2.7,10.934005173592539,20,31.74478172288414,2.773285518997302,0
28,2.8000000000000003,10.550656688681478,20,30.946472452198464,2.887063400844994,0
29,2.9000000000000004,9.493097629150117,20,30.243866309771118,2.997530840563267,0
30,3.0,8.895131397145708,20,29.633453772678166,3.104319958296156,0
31,3.1,8.7070677601959,20,29.069397439697816,3.207092914922003,0
32,3.2,8.891756327313658,20,28.51327568188645,3.305533567374547,0
33,3.3000000000000003,9.39633397880969,20,27.930298462572885,3.399358912749819,0
34,3.4000000000000004,9.348617840537894,20,27.329804162900164,3.4883162273361124,0
35,3.5,10.248645147732722,20,26.69986041412192,3.572183305034638,0
36,3.6,11.034314511196865,20,25.989655458179193,3.6507727487965425,0
