timestep,time_elapsed,ego_velocity,desired_speed,distance_to_lead,lead_speed,mode
0,0.0,1.0845428554413616e-07,20,41.237945556640625,1.0040296203922465e-07,0
1,0.1,4.223329321673077e-08,20,41.237945556640625,1.2513945385354173e-07,0
2,0.2,1.660494560392473e-07,20,41.237945556640625,2.075643504250758e-07,0
3,0.30000000000000004,3.1374751352677587e-07,20,41.237945556640625,1.7954785727844546e-07,0
4,0.4,1.3344470235749988e-07,20,41.237945556640625,0.0008171206266215828,0
5,0.5,0.0019886494025958064,20,41.26171875000004,0.35787094028356026,0
6,0.6000000000000001,0.8925732374203222,20,41.26223754882883,0.6137570143162664,0
7,0.7000000000000001,1.2884952850872258,20,41.22091674804847,0.7518522854821195,0
8,0.8,1.7729182528217864,20,41.15228271512664,0.9314324863610365,0
9,0.9,2.2602184432797117,20,41.05557251001484,1.0964100542647237,0
10,1.0,2.9319867242132345,20,40.91610717778279,1.2734792859989308,0
11,1.1,3.7095755163218143,20,40.719421388118256,1.4583988908958256,0
12,1.2000000000000002,4.417096610544738,20,40.46844482950688,1.649418792635287,0
13,1.3,5.118191365248518,20,40.16702271784691,1.8454060269280133,0
14,1.4000000000000001,5.829576748976251,20,39.81475832654837,2.045776229672787,0
15,1.5,5.8672411723999,20,39.44888310183307,2.2502375764804987,0
16,1.6,6.455321189224219,20,39.083252023308695,2.458596829067004,0
17,1.7000000000000002,7.229269028293277,20,38.65655528095065,2.6707049758110544,0
18,1.8,8.060968998129061,20,38.16952530071682,2.886439707946459,0
19,1.9000000000000001,8.944309010412788,20,37.61825583378801,3.105685869281593,0
20,2.0,9.240589886522573,20,37.01699859105238,3.328335933094888,0
21,2.1,9.78819260971092,20,36.421387118455,3.5542876177347416,0
22,2.2,10.696495990842058,20,35.75878958926807,3.783488232780532,0
23,2.3000000000000003,11.402215052820276,20,35.04086371924604,4.016333314674988,0
24,2.4000000000000004,12.015962696343028,20,34.27899257089524,4.193561299628895,0
25,2.5,12.5900861172622,20,33.47125354237812,4.2882759473429415,0
26,2.6,13.149100471538777,20,32.612458647567166,4.312808267262362,0
27,2.7,13.466922922159673,20,31.7060563796839,4.287642708095104,0
28,2.8000000000000003,13.262483689778563,20,30.795686864285432,4.228286968792614,1
29,2.9000000000000004,12.842457792041673,20,29.91284424501207,4.145856124259842,1
30,3.0,12.34941478820584,20,29.067263612890034,4.048053002446257,1
31,3.1,11.836578287016243,20,28.261355863609605,3.9401607210391014,1
32,3.2,11.324330209805956,20,27.49515151322991,3.8258058652961964,0
33,3.3000000000000003,11.111967927810744,20,26.75473455842683,3.707463458645267,0
34,3.4000000000000004,10.05514214990104,20,26.06485473557379,3.5868305645823497,0
35,3.5,9.189081812759827,20,25.464574518402173,3.4650728116431058,0
36,3.6,8.657487498238437,20,24.920263541335203,3.342986279533266,0
37,3.7,8.482250804759445,20,24.39530073167233,3.221116946834751,0
38,3.8000000000000003,8.676138574555551,20,23.853980547258512,3.09983317024999,0
39,3.9000000000000004,8.77544374893697,20,23.279579382858202,2.979387673496382,0
40,4.0,9.366453945165143,20,22.672005683098515,2.8599475880224743,0
41,4.1000000000000005,9.901450045615515,20,21.97718236303643,2.7416285468519423,0
42,4.2,9.789975964883086,20,21.25940990299341,2.624505890207768,1
